文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
涡纹四系彩陶罐,远古时期,远古时期,62,f,陶器,"[""纹饰"", ""饮食""]",0,,,,,,,,,
扁足陶鼎,远古时期,远古时期,63,f,陶器,"[""礼制"", ""饮食""]",0,,,,,,,,,
骨笛,远古时期,远古时期,64,f,化石,"[""乐器""]",0,,,,,,,,,
利青铜簋,夏商西周时期,夏商西周时期,65,t,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
天亡青铜簋,夏商西周时期,夏商西周时期,66,t,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
禽青铜簋,夏商西周时期,夏商西周时期,67,f,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
宜侯夨青铜簋,夏商西周时期,夏商西周时期,68,f,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
匽侯青铜盂,夏商西周时期,夏商西周时期,69,f,铜器,"[""饮食"", ""纹饰""]",0,,,,,,,,,
康侯青铜斧,夏商西周时期,夏商西周时期,70,f,铜器,"[""武器""]",0,,,,,,,,,
乳丁纹青铜方鼎,夏商西周时期,夏商西周时期,71,f,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
王令众人曰协田刻辞卜骨,夏商西周时期,夏商西周时期,72,f,石器石刻,"[""书法"", ""农耕""]",0,,,,,,,,,
陶鬲外范,夏商西周时期,夏商西周时期,73,f,其他,"[""科技""]",0,,,,,,,,,
作册般甗,夏商西周时期,夏商西周时期,74,f,铜器,"[""饮食"", ""礼制""]",0,,,,,,,,,
妇好青铜偶方彝,夏商西周时期,夏商西周时期,75,f,铜器,"[""饮食"", ""纹饰""]",0,,,,,,,,,
妇好青铜三联甗,夏商西周时期,夏商西周时期,76,f,铜器,"[""饮食"", ""纹饰""]",0,,,,,,,,,
青铜爵,夏商西周时期,夏商西周时期,77,f,铜器,"[""饮食"", ""礼制""]",0,,,,,,,,,
后母戊青铜方鼎,夏商西周时期,夏商西周时期,78,t,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
子龙青铜鼎,夏商西周时期,夏商西周时期,79,f,铜器,"[""礼制"", ""纹饰""]",0,,,,,,,,,
货贝,夏商西周时期,夏商西周时期,80,f,钱币,"[""货币""]",0,,,,,,,,,
妇好青铜鸮尊,夏商西周时期,夏商西周时期,81,f,铜器,"[""礼制"", ""陈设品"", ""纹饰""]",0,,,,,,,,,
后母辛青铜觥,夏商西周时期,夏商西周时期,82,f,铜器,"[""饮食"", ""礼制"", ""纹饰""]",0,,,,,,,,,
玉戚,夏商西周时期,夏商西周时期,83,f,玉器宝石,"[""武器"", ""礼制""]",0,,,,,,,,,
