label,SEASON_Tmax_mean,SEASON_Tmax_max,SEASON_Tmax_min,SEASON_Tmax_std,SEASON_Tmin_mean,SEASON_Tmin_max,SEASON_Tmin_min,SEASON_Tmin_std,SEASON_DTR_mean,SEASON_DTR_max,SEASON_DTR_std,SEASON_TSR_mean,SEASON_MMR_mean,SEASON_GDD_sum,SEASON_GDD_mean,SEASON_GDD_max,SEASON_dGDD_sum,SEASON_dGDD_mean,SEASON_RH_mean,SEASON_RH_min,SEASON_RH_max,SEASON_RH_std,SEASON_PR_sum,SEASON_PR_mean,SEASON_PR_max,SEASON_PRDTR_mean,SEASON_DL_hours_mean,SEASON_DL_hours_max,SEASON_DL_hours_min,SEASON_APAR_sum,SEASON_APAR_mean,SEASON_UVA_sum,SEASON_UVA_mean,SEASON_UVB_sum,SEASON_UVB_mean,SEASON_PTT_sum,SEASON_PTT_mean,SEASON_dPTT_sum,SEASON_dPTT_mean,SEASON_PTR_mean,SEASON_PTD1_sum,SEASON_PTD1_mean,SEASON_PTD2_mean,SEASON_PS_kPa_mean,SEASON_WS2M_mps_mean,SEASON_WS2M_mps_max,SEASON_WD_mean,SEASON_SW_mean,SEASON_SW_min,SEASON_SW_max,SEASON_SM_mean,SEASON_SM_min,SEASON_SM_max
km_23,25.393878504672898,32.39,16.19,2.930384237541454,13.280607476635515,18.73,4.71,2.8398601560179846,12.113271028037381,19.33,3.2757606737923277,468.99687663551407,0.5255570578209348,1998.17,9.337242990654206,15.204999999999998,205.61,0.9653051643192488,69.91107476635514,42.72,90.49,11.79646300799875,631.27,2.949859813084112,30.66,0.3350498692627144,12.737353007726698,13.581937832524936,11.023307539962794,1840.68,8.601308411214953,265.39,1.2401401869158877,8.71,0.040700934579439255,25687.510509524694,120.03509583890045,2628.3769741805727,12.33979800084776,0.7285498039951824,33040.20164332262,154.39346562300292,0.9535813458341922,78.42317757009349,2.611635514018692,7.12,180.0799065420561,0.7156542056074768,0.61,0.83,0.7289719626168224,0.64,0.83
gzl_23,22.344205607476635,32.42,5.9,6.055821025606202,10.95214953271028,23.13,-5.67,7.365693593171053,11.392056074766353,18.34,3.27615720821367,361.7334710280374,0.4271756115692355,1569.0649999999998,7.332079439252336,16.98,249.54499999999996,1.1715727699530514,70.7846261682243,40.57,91.77,12.382852350605061,550.48,2.572336448598131,51.69,0.37099732842598115,13.498452380605832,15.236173412986128,10.030858485930356,1700.19,7.94481308411215,212.49,0.9929439252336449,4.549999999999999,0.02126168224299065,22213.55885775935,103.80167690541754,3402.2104141295968,15.972818845678859,0.5214281168295473,32686.686090219315,152.74152378607155,0.8622016785115197,98.27593457943927,3.1061682242990654,8.76,206.78925233644858,0.5911682242990655,0.52,0.69,0.6094392523364486,0.54,0.68
th_23,27.177850467289716,39.16,8.43,5.805874245394995,15.622102803738318,27.38,-1.29,6.4740798623586455,11.5557476635514,20.41,3.4872790389076727,486.3799257009346,0.5539662444156842,2447.535,11.437079439252336,20.34,300.31999999999994,1.4099530516431922,65.33999999999999,26.25,93.46,12.97905156162238,653.32,3.0528971962616827,85.28,0.5706677196302713,13.286429157654116,14.771729739143394,10.304711030564366,1751.3400000000001,8.183831775700936,215.24,1.0057943925233646,5.109999999999999,0.023878504672897195,33429.47384077807,156.21249458307508,3977.414196841655,18.673306088458475,0.8440171440004558,32890.06092594238,153.69187348571205,0.8784486554630058,100.85588785046728,2.481121495327103,9.49,183.2224299065421,0.5130373831775701,0.45,0.66,0.5264485981308411,0.47,0.6
hz_23,28.184953271028036,35.69,15.8,4.153875990623691,18.946308411214954,26.36,5.2,5.460255113534762,9.238644859813085,19.72,3.009466300846634,422.869288317757,0.6618159357358354,2903.045,13.565630841121497,21.005,264.57,1.242112676056338,80.77140186915886,55.92,93.64,7.0940516676156395,945.14,4.416542056074766,51.14,0.7222770919996498,12.903399417187757,13.940165739684394,10.804839989441213,1482.35,6.926869158878504,192.73000000000002,0.9006074766355141,5.56,0.025981308411214953,37856.442779933306,176.89926532679115,3410.905462559808,16.013640669294873,1.045164104334633,25345.403247181348,118.43646377187545,0.7247793211063219,99.27584112149532,1.8723831775700932,4.63,163.30280373831775,0.7656542056074768,0.68,0.84,0.7830841121495327,0.71,0.82
nn_23,31.537383177570092,41.03,21.45,3.3258012417918064,22.777943925233643,27.68,14.1,2.9728938160848317,8.759439252336447,17.159999999999997,2.884591625246208,477.99466448598133,0.7241217652757541,3671.74,17.157663551401868,23.36,243.14499999999998,1.141525821596244,80.5308878504673,54.78,93.63,8.25607466280979,1216.52,5.684672897196261,56.22,0.9443916307036322,12.65289331167658,13.400122539814475,11.134725604409264,1600.8399999999997,7.48056074766355,221.65,1.0357476635514018,7.119999999999999,0.033271028037383174,46692.75342322416,218.19043655712224,3070.029407723623,14.413283604336259,1.3526824233465256,23717.90613786982,110.83133709284962,0.6941865446797943,98.73672897196262,2.487570093457944,8.38,116.48364485981307,0.6677102803738318,0.5,0.84,0.6539252336448598,0.5,0.81
hf_23,28.728130841121494,35.63,15.5,4.214437165078467,19.888691588785047,28.38,5.7,5.426327062651479,8.83943925233645,18.450000000000003,2.9863708578331876,418.0619037383177,0.6830703229772633,3062,14.30841121495327,21.545,257.58500000000004,1.2093192488262912,76.50953271028038,49.16,92.21,8.924930888831877,970.6000000000001,4.53551401869159,61.01,0.7800914360194473,12.962803765711474,14.06861421697509,10.72689516450017,1533.2800000000002,7.164859813084113,196.29000000000002,0.9172429906542057,5.5200000000000005,0.025794392523364486,40171.34263220615,187.7165543561035,3353.2756968739664,15.743078389079654,1.0963404155127898,24363.01223800351,113.84585157945565,0.6906493640571306,100.71481308411215,2.582056074766355,6.05,140.24813084112148,0.686588785046729,0.61,0.79,0.665841121495327,0.6,0.76
wh_23,29.85023364485981,38.64,12.59,4.763841754631139,19.889485981308408,28.28,5.53,5.40577773436486,9.960747663551404,18.090000000000003,2.919701591759755,488.91655140186924,0.6579990967113457,3182.1499999999996,14.86985981308411,22.74,295.72999999999996,1.3884037558685445,76.04088785046729,54.18,91.86,8.007222012153058,1016.31,4.74911214953271,50.41,0.649185672525146,12.926829099820633,13.990807395553365,10.774083240811937,1574.3700000000001,7.356869158878506,202.32999999999998,0.9454672897196261,5.85,0.02733644859813084,41523.71526461897,194.0360526384064,3817.4797672778677,17.92244022196182,1.1451430729279437,27353.56557496143,127.82039988299734,0.7807266395255439,100.63345794392525,2.280140186915888,6.05,133.1196261682243,0.6592990654205607,0.54,0.81,0.6418691588785045,0.54,0.77
