ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
301012.SZ,301012,扬电科技,20260318,32.73,10.2763,797050.811,797050811.0,7.97050811,644650.6102,6446506102.0,64.46506102,644650.6102,12.801,20.0669,1.22,91.6418,5.5276,4.8349,0.3099,创业板,电气设备,2021-06-22
300846.SZ,300846,首都在线,20260318,33.2,10.2624,2367239.174,2367239174.0,23.67239174,1669614.7731,16696147731.000002,166.96147731000002,1302868.0449,19.0166,20.6273,1.1,,19.5138,11.9532,,创业板,软件服务,2020-07-01
688021.SH,688021,奥福科技,20260318,27.01,10.2449,168165.58,168165580.0,1.6816558,206393.4496,2063934496.0,20.63934496,206393.4496,8.4092,14.0824,0.99,,2.3675,7.2618,,科创板,汽车配件,2019-11-06
300895.SZ,300895,铜牛信息,20260318,63.62,10.2027,1110325.221,1110325221.0,11.10325221,895773.7798,8957737798.0,89.57737798,879051.8799,12.9842,26.4653,1.88,,11.4473,32.2343,,创业板,软件服务,2020-09-24
002323.SZ,002323,雅博股份,20260318,3.03,10.1818,340888.929,340888929.0,3.40888929,642619.108,6426191080.0,64.2619108,642475.723,5.3874,7.0398,0.41,,18.378,18.7388,,主板,建筑工程,2009-12-18
600468.SH,600468,百利电气,20260318,8.97,10.0613,571800.866,571800866.0,5.71800866,975698.5829,9756985829.0,97.56985829,975698.5829,5.9102,13.4086,0.7,,4.8581,4.9728,,主板,电气设备,2001-06-15
603687.SH,603687,大胜达,20260318,11.06,10.0498,382957.488,382957488.0,3.82957488,608335.2416,6083352415.999999,60.83352415999999,608335.2416,6.5166,12.9185,2.53,57.2512,1.8666,2.8543,0.524,主板,广告包装,2019-07-26
603189.SH,603189,网达软件,20260318,20.08,10.0274,367733.043,367733043.0,3.67733043,541253.0848,5412530848.0,54.12530848,541253.0848,6.9951,11.5504,2.46,516.6133,3.5912,16.1843,0.74,主板,软件服务,2016-09-14
002339.SZ,002339,积成电子,20260318,12.51,10.0264,456271.348,456271348.0,4.56271348,630619.4348,6306194348.0,63.06194348,598970.7986,7.8161,9.4059,0.8,199.5558,3.6594,2.4273,0.1599,主板,电气设备,2010-01-22
603615.SH,603615,茶花股份,20260318,20.85,10.0264,134958.217,134958217.0,1.34958217,504194.7,5041947000.0,50.41947,504194.7,2.7783,5.939,1.48,,4.4061,9.0027,,主板,家居用品,2017-02-13
000815.SZ,000815,美利云,20260318,17.56,10.0251,1335068.633,1335068633.0,13.35068633,1220881.8895,12208818895.0,122.08818895,1220881.8895,11.3266,16.9488,0.51,,9.0407,13.3903,,主板,通信设备,1998-06-09
600602.SH,600602,云赛智联,20260318,22.61,10.0243,2455705.207,2455705207.0,24.55705207,3092309.6818,30923096818.0,309.23096818,2428999.0604,10.4632,18.6716,1.21,152.787,6.4144,5.4997,0.199,主板,软件服务,1990-12-19
603618.SH,603618,杭电股份,20260318,20.09,10.0219,1480982.447,1480982447.0,14.80982447,1388973.6125,13889736125.0,138.89736125,1388973.6125,11.1944,23.8526,1.01,100.7414,5.1213,1.5692,0.2987,主板,电气设备,2015-02-17
000037.SZ,000037,深南电A,20260318,10.54,10.0209,137688.316,137688316.0,1.37688316,635311.7762,6353117762.0,63.53117762,357209.1901,3.8723,6.5573,0.91,289.9798,4.3215,14.342,,主板,火力发电,1994-07-01
000048.SZ,000048,京基智农,20260318,21.3,10.0207,292425.469,292425469.0,2.92425469,1129501.1925,11295011924.999998,112.95011924999999,1121145.8415,2.6867,5.9251,0.83,15.8239,2.6737,1.895,3.3541,主板,农业综合,1994-11-01
603220.SH,603220,中贝通信,20260318,27.56,10.02,1470520.997,1470520997.0,14.70520997,1478170.1134,14781701134.0,147.81701134,1196821.5191,12.7316,17.6514,1.26,102.0989,3.8079,4.9531,0.3232,主板,通信设备,2018-11-15
603168.SH,603168,莎普爱思,20260318,7.8,10.0141,231771.07,231771070.0,2.3177107,291818.6739,2918186739.0,29.18186739,290560.9239,8.1192,14.3826,6.78,,1.8114,6.0298,,主板,化学制药,2014-07-02
603098.SH,603098,森特股份,20260318,17.36,10.0127,529513.129,529513128.99999994,5.29513129,936919.1618,9369191618.0,93.69191618,935356.7618,5.7714,16.7335,1.86,127.371,3.3158,3.1911,0.288,主板,装修装饰,2016-12-16
605058.SH,605058,澳弘电子,20260318,35.49,10.0124,359213.46,359213460.0,3.5921346,507237.0986,5072370986.0,50.72370986,507237.0986,7.2095,24.0055,2.65,35.8475,2.9089,3.9229,1.6906,主板,元器件,2020-10-21
603016.SH,603016,新宏泰,20260318,34.63,10.0064,162804.909,162804909.0,1.62804909,513078.08,5130780800.0,51.307808,513078.08,3.2863,7.2764,2.49,72.6432,6.2216,8.1085,1.3659,主板,电气设备,2016-07-01
603757.SH,603757,大元泵业,20260318,48.71,10.0045,479740.867,479740867.0,4.79740867,908671.6986,9086716986.0,90.86716986,908671.6986,5.4677,12.5769,0.48,35.5931,4.5147,4.761,1.3891,主板,机械基件,2017-07-11
003018.SZ,003018,金富科技,20260318,27.27,10.004,365518.429,365518429.0,3.65518429,709020.0,7090200000.0,70.902,267188.5285,14.1534,18.3816,0.96,50.2119,4.45,7.9464,1.1001,主板,塑料,2020-11-06
603115.SH,603115,海星股份,20260318,32.99,10.0033,320033.068,320033068.0,3.20033068,797996.4296,7979964296.0,79.79964296,797996.4296,4.224,11.9936,0.89,49.5943,3.8641,4.1391,1.7985,主板,铝,2019-08-09
002913.SZ,002913,奥士康,20260318,50.92,10.0022,412221.372,412221372.0,4.12221372,1615999.6864,16159996864.0,161.59996864,1536171.9441,2.784,8.4254,0.69,45.7425,3.6618,3.5393,1.1783,主板,元器件,2017-12-01
000539.SZ,000539,粤电力Ａ,20260318,5.61,10.0,147132.948,147132948.0,1.47132948,2945409.3161,29454093161.0,294.54093161,1433572.0503,1.0263,3.2131,0.47,30.5463,1.2568,0.5153,0.3565,主板,火力发电,1993-11-26
001287.SZ,001287,中电港,20260318,24.64,10.0,1030664.127,1030664127.0,10.30664127,1872393.839,18723938390.0,187.2393839,1077740.0431,9.7653,11.3029,2.83,78.9885,3.4813,0.385,0.4545,主板,元器件,2023-04-10
603316.SH,603316,诚邦股份,20260318,16.39,10.0,306905.812,306905812.0,3.06905812,433128.696,4331286960.0,43.3128696,433128.696,7.2506,11.7304,1.01,,8.1853,8.6012,,主板,建筑工程,2017-06-19
600307.SH,600307,酒钢宏兴,20260318,2.42,10.0,1403473.099,1403473099.0,14.03473099,1515732.4966,15157324966.0,151.57324966,1515732.4966,9.5013,23.0585,1.76,,2.2257,0.435,,主板,普钢,2000-12-20
603601.SH,603601,再升科技,20260318,11.77,10.0,2414004.074,2414004074.0,24.14004074,1344535.3229,13445353229.0,134.45353229,1344535.3229,18.1933,28.1557,1.4,148.1536,5.0738,9.1111,0.2292,主板,玻璃,2015-01-22
002432.SZ,002432,九安医疗,20260318,59.95,10.0,2217902.209,2217902209.0,22.17902209,2787529.8611,27875298611.0,278.75298611,2628265.8937,8.7874,13.4415,1.04,16.7045,1.2562,10.7535,0.308,主板,医疗保健,2010-06-10
002445.SZ,002445,中南文化,20260318,4.07,10.0,1831309.642,1831309642.0,18.31309642,967279.2651,9672792651.0,96.72792651,963117.056,19.3577,30.7631,1.62,168.4519,4.2699,10.5007,,主板,钢加工,2010-07-13
600370.SH,600370,三房巷,20260318,3.63,10.0,1469433.688,1469433688.0,14.69433688,1414495.1003,14144951003.0,141.44951003,1414495.1003,10.6503,56.9111,2.48,,2.8649,0.586,,主板,化工原料,2003-03-06
001389.SZ,001389,广合科技,20260318,119.68,10.0,1056892.094,1056892094.0,10.56892094,5103711.4966,51037114966.0,510.37114966,1818141.926,6.0322,6.0322,0.99,75.4875,13.912,13.6672,0.3999,主板,元器件,2024-04-02
600396.SH,600396,华电辽能,20260318,5.17,10.0,331038.843,331038843.0,3.31038843,761389.4244,7613894244.0,76.13894244,761389.4244,4.3478,9.6822,0.41,89.8658,5.6357,1.7094,,主板,火力发电,2001-03-28
001400.SZ,001400,江顺科技,20260318,139.73,9.9976,294103.092,294103092.0,2.94103092,838380.0,8383800000.0,83.838,209595.0,14.7367,14.7367,0.99,54.1338,6.8161,7.377,0.5725,主板,专用机械,2025-04-24
